timestamp,source_ip,user,event_type
2026-07-27 09:14:01,45.33.12.9,admin,failed_login
2026-07-27 09:14:03,45.33.12.9,admin,failed_login
2026-07-27 09:14:05,45.33.12.9,admin,failed_login
2026-07-27 09:14:07,45.33.12.9,admin,failed_login
2026-07-27 09:14:09,45.33.12.9,admin,failed_login
2026-07-27 09:14:11,45.33.12.9,admin,failed_login
2026-07-27 09:14:22,45.33.12.9,admin,successful_login
2026-07-27 09:20:00,192.168.1.5,john,successful_login
2026-07-27 09:25:14,192.168.1.7,priya,successful_login
2026-07-27 09:30:00,192.168.1.7,priya,failed_login
2026-07-27 09:30:45,192.168.1.7,priya,successful_login
2026-07-27 10:00:00,203.45.67.89,guest,failed_login
2026-07-27 10:00:02,203.45.67.89,guest,failed_login
2026-07-27 10:00:04,203.45.67.89,guest,failed_login
